"region","year","min_lambda","max_lambda","mean_lambda"
"Dehcho North",2011,0.772460000992245,1.19164929966111,0.960212644808431
"Dehcho South",2011,0.755841143913183,1.21133869007748,0.952583116286025
"GSA North",2011,0.767318081370969,1.29621210473371,1.00175956988532
"GSA South",2011,0.788025375596301,1.2367950378999,0.983736464854704
"Hay River Lowlands",2011,0.781210952235818,1.24629617585435,0.97982774539136
"Dehcho North",2021,0.759895130863417,1.22687260431114,0.963861658755034
"Dehcho South",2021,0.754402860320124,1.17799311046547,0.947524693809567
"GSA North",2021,0.804375660108081,1.27091351389373,1.00017589429557
"GSA South",2021,0.774911051015137,1.23938791518273,0.981754105900758
"Hay River Lowlands",2021,0.783767876794961,1.25530753743356,0.989911954873056
"Dehcho North",2031,0.767206819814864,1.2292409369162,0.962163334041912
"Dehcho South",2031,0.754890677745813,1.19268874722877,0.944721777593923
"GSA North",2031,0.793619798848122,1.28439487733688,1.00390832400487
"GSA South",2031,0.768040084082724,1.2511803454485,0.982651080100461
"Hay River Lowlands",2031,0.782595000652878,1.24180035890573,0.981234425001916
"Dehcho North",2041,0.779030068326358,1.25545957664997,0.980602958763098
"Dehcho South",2041,0.759240291537302,1.19720405864571,0.942562938931229
"GSA North",2041,0.786214535024721,1.31353943452412,1.01499042743294
"GSA South",2041,0.794203336318863,1.27699653450565,0.994919888032312
"Hay River Lowlands",2041,0.764451869534836,1.27250245018504,0.976206429051803
"Dehcho North",2051,0.776653727844237,1.22425585673417,0.978341590520595
"Dehcho South",2051,0.75204145728501,1.17871769833506,0.940695698009703
"GSA North",2051,0.787718750610597,1.2918170836559,1.01129473409411
"GSA South",2051,0.782388201225997,1.25343517005969,0.98980556058163
"Hay River Lowlands",2051,0.767178324951955,1.22009161399042,0.971259098238009
"Dehcho North",2061,0.783218238001261,1.22990481822636,0.978881455185579
"Dehcho South",2061,0.748296532157795,1.19403037157502,0.94171993446045
"GSA North",2061,0.78723463068274,1.30018342060942,1.00880257040249
"GSA South",2061,0.783983733157968,1.24462548514652,0.985446133485096
"Hay River Lowlands",2061,0.756871168754284,1.22320344626783,0.971202135661811
"Dehcho North",2071,0.764681175536249,1.24361124186793,0.978909187901221
"Dehcho South",2071,0.744281727513112,1.21542377394422,0.941576084148803
"GSA North",2071,0.796021022921656,1.29880180493417,1.00809609484126
"GSA South",2071,0.7831626445409,1.25809203852102,0.985469376781941
"Hay River Lowlands",2071,0.781072387714219,1.2615331722326,0.971777617017703
"Dehcho North",2081,0.765619185520242,1.25008291414388,0.979905007152899
"Dehcho South",2081,0.737302261664492,1.1791456284922,0.941919132214239
"GSA North",2081,0.759038025442784,1.2640172071962,1.00768959490888
"GSA South",2081,0.779795795151102,1.26214534959906,0.98520856571159
"Hay River Lowlands",2081,0.786279659894785,1.24924217107851,0.9733811867589
"Dehcho North",2091,0.783332621628466,1.24167549824121,0.978518516467057
"Dehcho South",2091,0.744257372911082,1.1900093108121,0.941265826088634
"GSA North",2091,0.782251839796763,1.27939042232271,1.00701211702262
"GSA South",2091,0.785150118378488,1.24665407432281,0.984735962769654
"Hay River Lowlands",2091,0.777494815395225,1.24922976099054,0.972682801608919
"Dehcho North",2100,0.788073116099287,1.26468620834327,0.97836942176476
"Dehcho South",2100,0.750551326423581,1.18068337241385,0.941205172270187
"GSA North",2100,0.792647467460713,1.35206769163657,1.00699598657551
"GSA South",2100,0.771078495871139,1.26006984244416,0.984870941710245
"Hay River Lowlands",2100,0.759715640631308,1.22340498996118,0.972855642726293
